racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id
6,1,Frankie Godiva,Markus Waldmüller,Conrad Lugauer,15,809500,1,35.0,1,40.0,6,110.0,3,110.0,1,30.0,99,33,45
6,2,Luca Vialli Boko,Magnus A Djuse,Ulf Stenströmer,5,764800,1,60.0,9,100.0,9,100.0,1,30.0,2,75.0,99,4,41
6,3,Mellby Indigo,Robert Bergh,Robert Bergh,4,788500,8,250.0,3,40.0,4,150.0,9,540.0,2,60.0,99,3,3
6,4,So Far Away Ås,André Eklundh,Hanna Lähdekorpi,2,840100,2,60.0,9,60.0,5,30.0,6,40.0,3,30.0,99,13,18
6,5,Here's Johnny Sox,Adrian Kolgjini,Lars I Nilsson,19,691544,9,60.0,9,110.0,1,220.0,1,110.0,2,110.0,99,25,23
6,6,That's it,Claes Svensson,Claes Svensson,11,705800,1,25.0,3,40.0,1,60.0,4,100.0,1,50.0,99,34,46
6,7,Tyson Dimanche,Giuseppe Lubrano,Magnus Dahlén,2,820900,1,10.0,9,30.0,9,40.0,3,10.0,2,10.0,99,35,34
6,8,Lucifer Boko,Carl Johan Jepson,Jerry Riordan,4,888406,1,40.0,6,110.0,4,110.0,4,30,3,110.0,99,19,36
6,9,Judge D.,Stefan Persson,Ola Samuelsson,14,707000,3,110.0,1,100.0,1,40.0,3,40.0,3,200.0,99,7,47
6,10,Black Fire,Gustav Johansson,Gustav Johansson,5,751401,3,60.0,2,110.0,2,100.0,1,40.0,2,40.0,99,18,48
6,11,Beachcomber,Joakim Lövgren,Joakim Lövgren,5,644873,1,40.0,7,60.0,2,60.0,1,30.0,2,25.0,99,21,24
6,12,Moses Boko,Rick Ebbinge,Rick Ebbinge,14,729237,3,220.0,1,60.0,1,60.0,2,110.0,7,60.0,99,5,5
7,1,Utah Southwind,Magnus A Djuse,Ulf Stenströmer,21,499697,3,110.0,1,110.0,1,100.0,5,100.0,7,30,99,4,41
7,2,Gasparito,Mikko Aho,Mikko Aho,3,430585,5,110.0,1,40.0,6,110.0,3,110.0,2,60.0,99,36,49
7,3,Brain Game,Stefan Persson,Magnus R Johansson,3,369400,1,60.0,9,100.0,9,50.0,5,100.0,1,60.0,99,7,50
7,4,Big Best Helvin,André Eklundh,Jerry Riordan,5,325141,1,25.0,1,60.0,2,30.0,1,30.0,2,10.0,99,13,36
7,5,Maserati Hall,Carl Johan Jepson,Fredrik Wallin,15,421500,2,100.0,2,300.0,3,150.0,2,60.0,1,40.0,99,19,29
7,6,Shejk,Adrian Kolgjini,Adrian Kolgjini,13,476400,1,60.0,9,110.0,1,40.0,2,30.0,4,40.0,99,25,2
7,7,Call Me Gleipner,Johan Untersteiner,Johan Untersteiner,10,308000,3,300.0,1,40.0,3,40.0,1,40.0,9,150.0,99,1,1
7,8,Fabror Melker,Max Karlsson,Magnus Pettersson,4,482500,2,110.0,2,100.0,1,40.0,3,50.0,6,30.0,99,15,51
7,9,Con Padre,Gustav Johansson,Hanna Lähdekorpi,4,398100,1,30.0,3,60.0,1,60.0,3,60.0,4,30.0,99,18,18
7,10,No Talking You,Peter Untersteiner,Johan Untersteiner,13,398360,4,110.0,1,60.0,1,100.0,1,50.0,2,40.0,99,10,1
7,11,Sabani,Jennifer L Oscarsson,Magnus Dahlén,4,305800,2,30.0,1,110.0,1,35.0,1,30.0,9,30.0,99,28,34
7,12,Global Difference,Joakim Lövgren,Joakim Lövgren,5,449000,5,220.0,4,110.0,1,50.0,1,50.0,2,35.0,99,21,24
