racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,rp1,rp2,rp3,rp4,rp5
4,4,M.T.Tomorrows Hope,Thomas Uhrberg,Anders Svanstedt,14,324000,1,110.0,9,110.0,1,30.0,9,50.0,4,50.0,99,28.0,133.0,0.00909090909090909,0.08181818181818182,0.03333333333333333,0.18,0.08
4,5,Elva Rapid,Victor Rosleff,Anders Svanstedt,2,324800,9,110.0,3,30.0,9,35.0,1,40.0,9,40.0,99,36.0,133.0,0.08181818181818182,0.1,0.2571428571428571,0.025,0.225
4,6,Take Me Sober,Robert Bergh,Emma Bjerkås,4,276500,5,60.0,7,40.0,9,30.0,9,30.0,2,40.0,99,62.0,999.0,0.08333333333333333,0.175,0.3,0.3,0.05
4,7,Xia Lloyd,Adrian Kolgjini,Adrian Kolgjini,24,310000,1,50.0,2,110.0,1,40.0,2,30.0,9,150.0,99,78.0,102.0,0.02,0.01818181818181818,0.025,0.06666666666666667,0.06
4,8,High Hope Lee,Stefan Persson,Lars I Nilsson,4,309500,4,30.0,9,40.0,8,110.0,1,35.0,1,40.0,99,0.0,169.0,0.13333333333333333,0.225,0.07272727272727272,0.02857142857142857,0.025
4,9,Momimhome,Iivari Nurminen,Anssi Nurminen,1,212362,9,30.0,4,30.0,5,40.0,9,40.0,2,30.0,99,228.0,593.0,0.3,0.13333333333333333,0.125,0.225,0.06666666666666667
4,10,Cypress Point,Ken Ecce,Tomas Malmqvist,10,339400,4,110.0,1,30.0,9,40.0,1,60.0,6,300.0,99,12.0,117.0,0.03636363636363636,0.03333333333333333,0.225,0.016666666666666666,0.02
4,11,Random Tile,Gustav Johansson,Lars I Nilsson,2,228839,7,60.0,9,40.0,9,100.0,1,25.0,2,40.0,99,8.0,169.0,0.11666666666666667,0.225,0.09,0.04,0.05
4,12,Eva Kant Gar,Jennifer L Oscarsson,Magnus Dahlén,3,324500,7,110.0,3,40.0,2,60.0,1,100.0,9,40.0,99,999.0,170.0,0.06363636363636363,0.075,0.03333333333333333,0.01,0.225
4,13,LaFerrari Dimanche,Rick Ebbinge,Rick Ebbinge,14,817500,2,60.0,2,110.0,1,60.0,4,30.0,9,10.0,99,9.0,8.0,0.03333333333333333,0.01818181818181818,0.016666666666666666,0.13333333333333333,0.9
